Date;Group;Series;Value
26/11/2008;Treasury Bills;SE 12M;2.235
27/11/2008;Treasury Bills;SE 12M;2.24
28/11/2008;Treasury Bills;SE 12M;2.19
01/12/2008;Treasury Bills;SE 12M;2.12
02/12/2008;Treasury Bills;SE 12M;1.905
03/12/2008;Treasury Bills;SE 12M;1.81
04/12/2008;Treasury Bills;SE 12M;1.70
05/12/2008;Treasury Bills;SE 12M;1.746
08/12/2008;Treasury Bills;SE 12M;1.73
09/12/2008;Treasury Bills;SE 12M;1.715
10/12/2008;Treasury Bills;SE 12M;1.68
11/12/2008;Treasury Bills;SE 12M;1.605
12/12/2008;Treasury Bills;SE 12M;1.571
15/12/2008;Treasury Bills;SE 12M;1.50
16/12/2008;Treasury Bills;SE 12M;1.45
17/12/2008;Treasury Bills;SE 12M;1.291
18/12/2008;Treasury Bills;SE 12M;1.276
19/12/2008;Treasury Bills;SE 12M;1.25
22/12/2008;Treasury Bills;SE 12M;1.241
23/12/2008;Treasury Bills;SE 12M;1.23
29/12/2008;Treasury Bills;SE 12M;1.216
30/12/2008;Treasury Bills;SE 12M;1.21
02/01/2009;Treasury Bills;SE 12M;1.205
05/01/2009;Treasury Bills;SE 12M;1.28
07/01/2009;Treasury Bills;SE 12M;1.276
08/01/2009;Treasury Bills;SE 12M;1.296
09/01/2009;Treasury Bills;SE 12M;1.251
12/01/2009;Treasury Bills;SE 12M;1.246
13/01/2009;Treasury Bills;SE 12M;1.156
14/01/2009;Treasury Bills;SE 12M;1.116
15/01/2009;Treasury Bills;SE 12M;1.061
16/01/2009;Treasury Bills;SE 12M;1.10
19/01/2009;Treasury Bills;SE 12M;1.076
20/01/2009;Treasury Bills;SE 12M;1.081
21/01/2009;Treasury Bills;SE 12M;1.096
22/01/2009;Treasury Bills;SE 12M;1.066
23/01/2009;Treasury Bills;SE 12M;1.061
26/01/2009;Treasury Bills;SE 12M;1.106
27/01/2009;Treasury Bills;SE 12M;1.106
28/01/2009;Treasury Bills;SE 12M;1.051
29/01/2009;Treasury Bills;SE 12M;1.036
