Date;Group;Series;Value
13/08/1998;Swedish Government Bonds;SE GVB 10Y;4.805
14/08/1998;Swedish Government Bonds;SE GVB 10Y;4.79
17/08/1998;Swedish Government Bonds;SE GVB 10Y;4.765
18/08/1998;Swedish Government Bonds;SE GVB 10Y;4.77
19/08/1998;Swedish Government Bonds;SE GVB 10Y;4.78
20/08/1998;Swedish Government Bonds;SE GVB 10Y;4.725
21/08/1998;Swedish Government Bonds;SE GVB 10Y;4.665
24/08/1998;Swedish Government Bonds;SE GVB 10Y;4.715
25/08/1998;Swedish Government Bonds;SE GVB 10Y;4.96
26/08/1998;Swedish Government Bonds;SE GVB 10Y;4.875
27/08/1998;Swedish Government Bonds;SE GVB 10Y;4.94
28/08/1998;Swedish Government Bonds;SE GVB 10Y;4.895
31/08/1998;Swedish Government Bonds;SE GVB 10Y;4.82
01/09/1998;Swedish Government Bonds;SE GVB 10Y;4.795
02/09/1998;Swedish Government Bonds;SE GVB 10Y;4.885
03/09/1998;Swedish Government Bonds;SE GVB 10Y;4.925
04/09/1998;Swedish Government Bonds;SE GVB 10Y;4.935
07/09/1998;Swedish Government Bonds;SE GVB 10Y;4.915
08/09/1998;Swedish Government Bonds;SE GVB 10Y;4.905
09/09/1998;Swedish Government Bonds;SE GVB 10Y;4.81
10/09/1998;Swedish Government Bonds;SE GVB 10Y;4.76
11/09/1998;Swedish Government Bonds;SE GVB 10Y;4.71
14/09/1998;Swedish Government Bonds;SE GVB 10Y;4.73
15/09/1998;Swedish Government Bonds;SE GVB 10Y;4.705
16/09/1998;Swedish Government Bonds;SE GVB 10Y;4.74
17/09/1998;Swedish Government Bonds;SE GVB 10Y;4.755
18/09/1998;Swedish Government Bonds;SE GVB 10Y;4.735
21/09/1998;Swedish Government Bonds;SE GVB 10Y;4.89
22/09/1998;Swedish Government Bonds;SE GVB 10Y;4.835
23/09/1998;Swedish Government Bonds;SE GVB 10Y;4.86
24/09/1998;Swedish Government Bonds;SE GVB 10Y;4.875
25/09/1998;Swedish Government Bonds;SE GVB 10Y;4.88
28/09/1998;Swedish Government Bonds;SE GVB 10Y;4.85
29/09/1998;Swedish Government Bonds;SE GVB 10Y;4.825
30/09/1998;Swedish Government Bonds;SE GVB 10Y;4.755
01/10/1998;Swedish Government Bonds;SE GVB 10Y;4.655
02/10/1998;Swedish Government Bonds;SE GVB 10Y;4.585
05/10/1998;Swedish Government Bonds;SE GVB 10Y;4.575
06/10/1998;Swedish Government Bonds;SE GVB 10Y;4.615
07/10/1998;Swedish Government Bonds;SE GVB 10Y;4.615
08/10/1998;Swedish Government Bonds;SE GVB 10Y;4.785
09/10/1998;Swedish Government Bonds;SE GVB 10Y;4.985
12/10/1998;Swedish Government Bonds;SE GVB 10Y;4.965
13/10/1998;Swedish Government Bonds;SE GVB 10Y;4.86
14/10/1998;Swedish Government Bonds;SE GVB 10Y;4.865
15/10/1998;Swedish Government Bonds;SE GVB 10Y;4.795
16/10/1998;Swedish Government Bonds;SE GVB 10Y;4.76
19/10/1998;Swedish Government Bonds;SE GVB 10Y;4.77
20/10/1998;Swedish Government Bonds;SE GVB 10Y;4.79
21/10/1998;Swedish Government Bonds;SE GVB 10Y;4.725
22/10/1998;Swedish Government Bonds;SE GVB 10Y;4.745
23/10/1998;Swedish Government Bonds;SE GVB 10Y;4.755
26/10/1998;Swedish Government Bonds;SE GVB 10Y;4.785
27/10/1998;Swedish Government Bonds;SE GVB 10Y;4.744
28/10/1998;Swedish Government Bonds;SE GVB 10Y;4.736
29/10/1998;Swedish Government Bonds;SE GVB 10Y;4.735
30/10/1998;Swedish Government Bonds;SE GVB 10Y;4.675
02/11/1998;Swedish Government Bonds;SE GVB 10Y;4.66
03/11/1998;Swedish Government Bonds;SE GVB 10Y;4.655
04/11/1998;Swedish Government Bonds;SE GVB 10Y;4.645
05/11/1998;Swedish Government Bonds;SE GVB 10Y;4.64
06/11/1998;Swedish Government Bonds;SE GVB 10Y;4.703
09/11/1998;Swedish Government Bonds;SE GVB 10Y;4.725
10/11/1998;Swedish Government Bonds;SE GVB 10Y;4.695
11/11/1998;Swedish Government Bonds;SE GVB 10Y;4.70
12/11/1998;Swedish Government Bonds;SE GVB 10Y;4.65
13/11/1998;Swedish Government Bonds;SE GVB 10Y;4.66
16/11/1998;Swedish Government Bonds;SE GVB 10Y;4.655
17/11/1998;Swedish Government Bonds;SE GVB 10Y;4.615
18/11/1998;Swedish Government Bonds;SE GVB 10Y;4.58
19/11/1998;Swedish Government Bonds;SE GVB 10Y;4.535
20/11/1998;Swedish Government Bonds;SE GVB 10Y;4.494
23/11/1998;Swedish Government Bonds;SE GVB 10Y;4.45
24/11/1998;Swedish Government Bonds;SE GVB 10Y;4.475
25/11/1998;Swedish Government Bonds;SE GVB 10Y;4.50
26/11/1998;Swedish Government Bonds;SE GVB 10Y;4.46
27/11/1998;Swedish Government Bonds;SE GVB 10Y;4.425
30/11/1998;Swedish Government Bonds;SE GVB 10Y;4.365
01/12/1998;Swedish Government Bonds;SE GVB 10Y;4.31
02/12/1998;Swedish Government Bonds;SE GVB 10Y;4.29
03/12/1998;Swedish Government Bonds;SE GVB 10Y;4.315
04/12/1998;Swedish Government Bonds;SE GVB 10Y;4.35
07/12/1998;Swedish Government Bonds;SE GVB 10Y;4.35
08/12/1998;Swedish Government Bonds;SE GVB 10Y;4.355
09/12/1998;Swedish Government Bonds;SE GVB 10Y;4.28
10/12/1998;Swedish Government Bonds;SE GVB 10Y;4.21
11/12/1998;Swedish Government Bonds;SE GVB 10Y;4.22
14/12/1998;Swedish Government Bonds;SE GVB 10Y;4.19
15/12/1998;Swedish Government Bonds;SE GVB 10Y;4.205
16/12/1998;Swedish Government Bonds;SE GVB 10Y;4.195
17/12/1998;Swedish Government Bonds;SE GVB 10Y;4.205
18/12/1998;Swedish Government Bonds;SE GVB 10Y;4.205
21/12/1998;Swedish Government Bonds;SE GVB 10Y;4.205
22/12/1998;Swedish Government Bonds;SE GVB 10Y;4.26
23/12/1998;Swedish Government Bonds;SE GVB 10Y;4.245
28/12/1998;Swedish Government Bonds;SE GVB 10Y;4.27
29/12/1998;Swedish Government Bonds;SE GVB 10Y;4.245
30/12/1998;Swedish Government Bonds;SE GVB 10Y;4.185
04/01/1999;Swedish Government Bonds;SE GVB 10Y;4.09
05/01/1999;Swedish Government Bonds;SE GVB 10Y;4.035
07/01/1999;Swedish Government Bonds;SE GVB 10Y;4.02
08/01/1999;Swedish Government Bonds;SE GVB 10Y;4.05
11/01/1999;Swedish Government Bonds;SE GVB 10Y;4.13
12/01/1999;Swedish Government Bonds;SE GVB 10Y;4.111
13/01/1999;Swedish Government Bonds;SE GVB 10Y;4.045
14/01/1999;Swedish Government Bonds;SE GVB 10Y;4.045
15/01/1999;Swedish Government Bonds;SE GVB 10Y;4.005
18/01/1999;Swedish Government Bonds;SE GVB 10Y;3.99
19/01/1999;Swedish Government Bonds;SE GVB 10Y;4.03
20/01/1999;Swedish Government Bonds;SE GVB 10Y;4.025
21/01/1999;Swedish Government Bonds;SE GVB 10Y;3.98
22/01/1999;Swedish Government Bonds;SE GVB 10Y;3.95
25/01/1999;Swedish Government Bonds;SE GVB 10Y;3.935
26/01/1999;Swedish Government Bonds;SE GVB 10Y;3.95
27/01/1999;Swedish Government Bonds;SE GVB 10Y;3.965
28/01/1999;Swedish Government Bonds;SE GVB 10Y;3.99
29/01/1999;Swedish Government Bonds;SE GVB 10Y;3.985
01/02/1999;Swedish Government Bonds;SE GVB 10Y;3.993
02/02/1999;Swedish Government Bonds;SE GVB 10Y;4.035
03/02/1999;Swedish Government Bonds;SE GVB 10Y;4.08
04/02/1999;Swedish Government Bonds;SE GVB 10Y;4.145
05/02/1999;Swedish Government Bonds;SE GVB 10Y;4.14
08/02/1999;Swedish Government Bonds;SE GVB 10Y;4.175
09/02/1999;Swedish Government Bonds;SE GVB 10Y;4.14
10/02/1999;Swedish Government Bonds;SE GVB 10Y;4.13
11/02/1999;Swedish Government Bonds;SE GVB 10Y;4.11
12/02/1999;Swedish Government Bonds;SE GVB 10Y;4.18
15/02/1999;Swedish Government Bonds;SE GVB 10Y;4.255
16/02/1999;Swedish Government Bonds;SE GVB 10Y;4.21
17/02/1999;Swedish Government Bonds;SE GVB 10Y;4.235
18/02/1999;Swedish Government Bonds;SE GVB 10Y;4.24
19/02/1999;Swedish Government Bonds;SE GVB 10Y;4.23
22/02/1999;Swedish Government Bonds;SE GVB 10Y;4.22
23/02/1999;Swedish Government Bonds;SE GVB 10Y;4.20
24/02/1999;Swedish Government Bonds;SE GVB 10Y;4.215
25/02/1999;Swedish Government Bonds;SE GVB 10Y;4.305
26/02/1999;Swedish Government Bonds;SE GVB 10Y;4.41
01/03/1999;Swedish Government Bonds;SE GVB 10Y;4.555
02/03/1999;Swedish Government Bonds;SE GVB 10Y;4.50
03/03/1999;Swedish Government Bonds;SE GVB 10Y;4.515
04/03/1999;Swedish Government Bonds;SE GVB 10Y;4.56
05/03/1999;Swedish Government Bonds;SE GVB 10Y;4.41
08/03/1999;Swedish Government Bonds;SE GVB 10Y;4.45
09/03/1999;Swedish Government Bonds;SE GVB 10Y;4.484
10/03/1999;Swedish Government Bonds;SE GVB 10Y;4.535
11/03/1999;Swedish Government Bonds;SE GVB 10Y;4.51
12/03/1999;Swedish Government Bonds;SE GVB 10Y;4.42
15/03/1999;Swedish Government Bonds;SE GVB 10Y;4.445
16/03/1999;Swedish Government Bonds;SE GVB 10Y;4.43
17/03/1999;Swedish Government Bonds;SE GVB 10Y;4.325
18/03/1999;Swedish Government Bonds;SE GVB 10Y;4.34
19/03/1999;Swedish Government Bonds;SE GVB 10Y;4.31
22/03/1999;Swedish Government Bonds;SE GVB 10Y;4.365
23/03/1999;Swedish Government Bonds;SE GVB 10Y;4.45
24/03/1999;Swedish Government Bonds;SE GVB 10Y;4.39
25/03/1999;Swedish Government Bonds;SE GVB 10Y;4.354
26/03/1999;Swedish Government Bonds;SE GVB 10Y;4.465
29/03/1999;Swedish Government Bonds;SE GVB 10Y;4.485
30/03/1999;Swedish Government Bonds;SE GVB 10Y;4.42
31/03/1999;Swedish Government Bonds;SE GVB 10Y;4.375
01/04/1999;Swedish Government Bonds;SE GVB 10Y;4.365
06/04/1999;Swedish Government Bonds;SE GVB 10Y;4.315
07/04/1999;Swedish Government Bonds;SE GVB 10Y;4.26
08/04/1999;Swedish Government Bonds;SE GVB 10Y;4.255
09/04/1999;Swedish Government Bonds;SE GVB 10Y;4.17
12/04/1999;Swedish Government Bonds;SE GVB 10Y;4.25
13/04/1999;Swedish Government Bonds;SE GVB 10Y;4.205
14/04/1999;Swedish Government Bonds;SE GVB 10Y;4.185
15/04/1999;Swedish Government Bonds;SE GVB 10Y;4.205
16/04/1999;Swedish Government Bonds;SE GVB 10Y;4.215
19/04/1999;Swedish Government Bonds;SE GVB 10Y;4.25
20/04/1999;Swedish Government Bonds;SE GVB 10Y;4.21
21/04/1999;Swedish Government Bonds;SE GVB 10Y;4.185
22/04/1999;Swedish Government Bonds;SE GVB 10Y;4.215
23/04/1999;Swedish Government Bonds;SE GVB 10Y;4.29
26/04/1999;Swedish Government Bonds;SE GVB 10Y;4.275
27/04/1999;Swedish Government Bonds;SE GVB 10Y;4.255
28/04/1999;Swedish Government Bonds;SE GVB 10Y;4.30
29/04/1999;Swedish Government Bonds;SE GVB 10Y;4.25
30/04/1999;Swedish Government Bonds;SE GVB 10Y;4.165
03/05/1999;Swedish Government Bonds;SE GVB 10Y;4.235
04/05/1999;Swedish Government Bonds;SE GVB 10Y;4.27
05/05/1999;Swedish Government Bonds;SE GVB 10Y;4.37
06/05/1999;Swedish Government Bonds;SE GVB 10Y;4.49
07/05/1999;Swedish Government Bonds;SE GVB 10Y;4.425
10/05/1999;Swedish Government Bonds;SE GVB 10Y;4.505
11/05/1999;Swedish Government Bonds;SE GVB 10Y;4.455
12/05/1999;Swedish Government Bonds;SE GVB 10Y;4.555
14/05/1999;Swedish Government Bonds;SE GVB 10Y;4.605
17/05/1999;Swedish Government Bonds;SE GVB 10Y;4.605
18/05/1999;Swedish Government Bonds;SE GVB 10Y;4.55
19/05/1999;Swedish Government Bonds;SE GVB 10Y;4.575
20/05/1999;Swedish Government Bonds;SE GVB 10Y;4.55
21/05/1999;Swedish Government Bonds;SE GVB 10Y;4.54
25/05/1999;Swedish Government Bonds;SE GVB 10Y;4.555
26/05/1999;Swedish Government Bonds;SE GVB 10Y;4.515
27/05/1999;Swedish Government Bonds;SE GVB 10Y;4.55
28/05/1999;Swedish Government Bonds;SE GVB 10Y;4.585
31/05/1999;Swedish Government Bonds;SE GVB 10Y;4.615
01/06/1999;Swedish Government Bonds;SE GVB 10Y;4.705
02/06/1999;Swedish Government Bonds;SE GVB 10Y;4.815
03/06/1999;Swedish Government Bonds;SE GVB 10Y;4.725
04/06/1999;Swedish Government Bonds;SE GVB 10Y;4.805
07/06/1999;Swedish Government Bonds;SE GVB 10Y;4.78
08/06/1999;Swedish Government Bonds;SE GVB 10Y;4.73
09/06/1999;Swedish Government Bonds;SE GVB 10Y;4.79
10/06/1999;Swedish Government Bonds;SE GVB 10Y;4.905
11/06/1999;Swedish Government Bonds;SE GVB 10Y;4.90
14/06/1999;Swedish Government Bonds;SE GVB 10Y;4.88
15/06/1999;Swedish Government Bonds;SE GVB 10Y;4.855
16/06/1999;Swedish Government Bonds;SE GVB 10Y;4.81
17/06/1999;Swedish Government Bonds;SE GVB 10Y;4.805
18/06/1999;Swedish Government Bonds;SE GVB 10Y;4.745
21/06/1999;Swedish Government Bonds;SE GVB 10Y;4.80
22/06/1999;Swedish Government Bonds;SE GVB 10Y;4.93
23/06/1999;Swedish Government Bonds;SE GVB 10Y;5.03
24/06/1999;Swedish Government Bonds;SE GVB 10Y;5.08
28/06/1999;Swedish Government Bonds;SE GVB 10Y;5.09
29/06/1999;Swedish Government Bonds;SE GVB 10Y;5.05
30/06/1999;Swedish Government Bonds;SE GVB 10Y;5.055
01/07/1999;Swedish Government Bonds;SE GVB 10Y;5.125
02/07/1999;Swedish Government Bonds;SE GVB 10Y;5.21
05/07/1999;Swedish Government Bonds;SE GVB 10Y;5.23
06/07/1999;Swedish Government Bonds;SE GVB 10Y;5.335
07/07/1999;Swedish Government Bonds;SE GVB 10Y;5.37
08/07/1999;Swedish Government Bonds;SE GVB 10Y;5.49
09/07/1999;Swedish Government Bonds;SE GVB 10Y;5.36
12/07/1999;Swedish Government Bonds;SE GVB 10Y;5.315
13/07/1999;Swedish Government Bonds;SE GVB 10Y;5.195
14/07/1999;Swedish Government Bonds;SE GVB 10Y;5.235
15/07/1999;Swedish Government Bonds;SE GVB 10Y;5.24
16/07/1999;Swedish Government Bonds;SE GVB 10Y;5.295
19/07/1999;Swedish Government Bonds;SE GVB 10Y;5.30
20/07/1999;Swedish Government Bonds;SE GVB 10Y;5.235
21/07/1999;Swedish Government Bonds;SE GVB 10Y;5.12
22/07/1999;Swedish Government Bonds;SE GVB 10Y;5.105
23/07/1999;Swedish Government Bonds;SE GVB 10Y;5.175
26/07/1999;Swedish Government Bonds;SE GVB 10Y;5.215
27/07/1999;Swedish Government Bonds;SE GVB 10Y;5.215
28/07/1999;Swedish Government Bonds;SE GVB 10Y;5.225
29/07/1999;Swedish Government Bonds;SE GVB 10Y;5.30
30/07/1999;Swedish Government Bonds;SE GVB 10Y;5.34
02/08/1999;Swedish Government Bonds;SE GVB 10Y;5.43
03/08/1999;Swedish Government Bonds;SE GVB 10Y;5.425
04/08/1999;Swedish Government Bonds;SE GVB 10Y;5.495
05/08/1999;Swedish Government Bonds;SE GVB 10Y;5.605
06/08/1999;Swedish Government Bonds;SE GVB 10Y;5.705
09/08/1999;Swedish Government Bonds;SE GVB 10Y;5.835
10/08/1999;Swedish Government Bonds;SE GVB 10Y;5.70
11/08/1999;Swedish Government Bonds;SE GVB 10Y;5.61
12/08/1999;Swedish Government Bonds;SE GVB 10Y;5.51
13/08/1999;Swedish Government Bonds;SE GVB 10Y;5.475
16/08/1999;Swedish Government Bonds;SE GVB 10Y;5.51
17/08/1999;Swedish Government Bonds;SE GVB 10Y;5.455
18/08/1999;Swedish Government Bonds;SE GVB 10Y;5.465
19/08/1999;Swedish Government Bonds;SE GVB 10Y;5.415
20/08/1999;Swedish Government Bonds;SE GVB 10Y;5.372
23/08/1999;Swedish Government Bonds;SE GVB 10Y;5.33
24/08/1999;Swedish Government Bonds;SE GVB 10Y;5.375
25/08/1999;Swedish Government Bonds;SE GVB 10Y;5.32
26/08/1999;Swedish Government Bonds;SE GVB 10Y;5.35
27/08/1999;Swedish Government Bonds;SE GVB 10Y;5.40
30/08/1999;Swedish Government Bonds;SE GVB 10Y;5.475
31/08/1999;Swedish Government Bonds;SE GVB 10Y;5.52
01/09/1999;Swedish Government Bonds;SE GVB 10Y;5.61
02/09/1999;Swedish Government Bonds;SE GVB 10Y;5.65
03/09/1999;Swedish Government Bonds;SE GVB 10Y;5.555
06/09/1999;Swedish Government Bonds;SE GVB 10Y;5.545
07/09/1999;Swedish Government Bonds;SE GVB 10Y;5.58
08/09/1999;Swedish Government Bonds;SE GVB 10Y;5.67
